id,from_addr,to_addr,bg_id,county,state_or_territory,fullname,bg_smoke_risk,bg_pop_risk,bg_pop,place_id
5196135,8501,8699,170317109002,Cook,Illinois,S Wallace St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196136,8300,8698,170317109002,Cook,Illinois,S Vincennes Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196137,8253,8665,170317109002,Cook,Illinois,S Vincennes Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196138,8400,8698,170317109002,Cook,Illinois,S Lowe Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196139,8401,8699,170317109002,Cook,Illinois,S Lowe Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196140,8400,8498,170317109002,Cook,Illinois,S Gilbert Ct,0.77900651014469089058,0.10999510600296678053,161,1714000
5196141,8401,8499,170317109002,Cook,Illinois,S Gilbert Ct,0.77900651014469089058,0.10999510600296678053,161,1714000
5196142,8300,8398,170317109002,Cook,Illinois,S Birkhoff Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196143,8301,8399,170317109002,Cook,Illinois,S Birkhoff Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196144,500,598,170317109002,Cook,Illinois,W 84th St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196145,501,599,170317109002,Cook,Illinois,W 84th St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196146,8500,8698,170317109002,Cook,Illinois,S Union Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196147,8501,8699,170317109002,Cook,Illinois,S Union Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196148,400,730,170317109002,Cook,Illinois,W 87th St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196149,8300,8498,170317109002,Cook,Illinois,S Kerfoot Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196150,8301,8499,170317109002,Cook,Illinois,S Kerfoot Ave,0.77900651014469089058,0.10999510600296678053,161,1714000
5196151,8301,8661,170317109002,Cook,Illinois,S Halsted St,0.77900651014469089058,0.10999510600296678053,161,1714000
5196152,8300,8498,170317110001,Cook,Illinois,S Morgan St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196153,8300,8498,170317110001,Cook,Illinois,S Aberdeen St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196154,8301,8499,170317110001,Cook,Illinois,S Aberdeen St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196155,1001,1199,170317110001,Cook,Illinois,W 83rd St,0.44391318712215967924,0.23164319694832736401,105,1714000
